0 6e-04 0.0026 0.0103 0.031 0.0724 0.1311 0.1842 0.2006 0.1694 0.1108 0.0562 0.0221 0.0067 0.0016 3e-04 0 0 0 0 0 0 0
0 0 0 3e-04 0.0014 0.0055 0.0177 0.0452 0.0914 0.1465 0.1862 0.1875 0.1496 0.0947 0.0475 0.0188 0.0059 0.0015 3e-04 0 0 0 0
0 0 0 0 0 2e-04 0.0011 0.0045 0.0144 0.0371 0.0767 0.1277 0.1714 0.1852 0.1612 0.113 0.0638 0.029 0.0106 0.0031 7e-04 2e-04 0
0 0 0 0 0 0 1e-04 3e-04 0.0015 0.0054 0.016 0.0391 0.0778 0.1262 0.1669 0.18 0.1582 0.1134 0.0662 0.0315 0.0122 0.0051 0
0 0 0 0 0 0 0 0 1e-04 6e-04 0.0025 0.0083 0.0224 0.0497 0.091 0.137 0.1698 0.1732 0.1456 0.1007 0.0574 0.0414 2e-04
0 0 0 0 0 0 0 0 0 1e-04 4e-04 0.0016 0.0054 0.0152 0.0359 0.0702 0.114 0.1537 0.172 0.1598 0.1232 0.1459 0.0027
0 0 0 0 0 0 0 0 0 0 1e-04 3e-04 0.0012 0.0043 0.0124 0.0298 0.0599 0.1008 0.1418 0.1666 0.1636 0.3045 0.0147
0 0 0 0 0 0 0 0 0 0 0 1e-04 3e-04 0.0012 0.0042 0.0118 0.0283 0.0568 0.0959 0.1361 0.1624 0.4556 0.0473
0 0 0 0 0 0 0 0 0 0 0 0 1e-04 4e-04 0.0015 0.0047 0.013 0.0301 0.0589 0.0974 0.1361 0.5517 0.1061
0 0 0 0 0 0 0 0 0 0 0 0 0 1e-04 6e-04 0.002 0.0061 0.0159 0.035 0.0655 0.104 0.584 0.1867
0 0 0 0 0 0 0 0 0 0 0 0 0 1e-04 2e-04 9e-04 0.003 0.0086 0.0209 0.0433 0.0763 0.5687 0.278
0 0 0 0 0 0 0 0 0 0 0 0 0 0 1e-04 4e-04 0.0016 0.0049 0.0129 0.0289 0.0553 0.5268 0.369
0 0 0 0 0 0 0 0 0 0 0 0 0 0 1e-04 2e-04 9e-04 0.003 0.0082 0.0197 0.0405 0.4748 0.4525
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1e-04 6e-04 0.0019 0.0055 0.0139 0.0302 0.4226 0.5251
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1e-04 4e-04 0.0013 0.0039 0.0102 0.0232 0.3751 0.586
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1e-04 2e-04 9e-04 0.0028 0.0077 0.0182 0.3339 0.6361
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2e-04 7e-04 0.0022 0.0061 0.0148 0.2993 0.6768
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1e-04 5e-04 0.0017 0.0049 0.0123 0.2706 0.7097
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1e-04 4e-04 0.0014 0.0041 0.0105 0.2471 0.7363
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1e-04 4e-04 0.0012 0.0036 0.0091 0.2278 0.7578
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1e-04 3e-04 0.0011 0.0031 0.0081 0.2121 0.7752
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1e-04 3e-04 0.001 0.0028 0.0074 0.1992 0.7893
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1e-04 3e-04 9e-04 0.0026 0.0068 0.1886 0.8008
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1e-04 2e-04 8e-04 0.0024 0.0064 0.1799 0.8102
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1e-04 2e-04 8e-04 0.0023 0.006 0.1728 0.8178
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2e-04 5e-04 0.0017 0.0046 0.1465 0.8465
#-p

#!p Size-age matrix using mean estimation for 1980s-2000s: sizeage2(1,nages,1,nlenbins)
0.1528 0.4613 0.1527 0.1115 0.0674 0.0338 0.014 0.0048 0.0014 3e-04 1e-04 0 0 0 0 0 0 0 0 0 0 0 0
0.0014 0.0472 0.0636 0.108 0.1512 0.1745 0.166 0.13 0.084 0.0447 0.0196 0.0071 0.0021 5e-04 1e-04 0 0 0 0 0 0 0 0
0 5e-04 0.0016 0.0057 0.0165 0.0394 0.077 0.1237 0.1632 0.1768 0.1574 0.115 0.0691 0.034 0.0138 0.0046 0.0013 3e-04 1e-04 0 0 0 0
0 0 0 1e-04 3e-04 0.0014 0.0051 0.0153 0.0372 0.0742 0.1213 0.1624 0.1781 0.1601 0.1178 0.071 0.0351 0.0142 0.0047 0.0013 3e-04 1e-04 0
0 0 0 0 0 0 1e-04 6e-04 0.0025 0.0084 0.023 0.0517 0.0949 0.1424 0.1745 0.1749 0.1432 0.0959 0.0525 0.0235 0.0086 0.0033 0
0 0 0 0 0 0 0 0 1e-04 5e-04 0.002 0.0071 0.0203 0.047 0.089 0.1373 0.1728 0.1775 0.1488 0.1017 0.0567 0.039 2e-04
0 0 0 0 0 0 0 0 0 0 1e-04 7e-04 0.0027 0.0091 0.0248 0.0552 0.1001 0.1478 0.1778 0.1741 0.139 0.166 0.0027
0 0 0 0 0 0 0 0 0 0 0 1e-04 3e-04 0.0014 0.0051 0.0156 0.0385 0.0773 0.1262 0.1676 0.181 0.3699 0.0169
0 0 0 0 0 0 0 0 0 0 0 0 0 2e-04 0.001 0.0038 0.0122 0.0317 0.067 0.115 0.1604 0.5499 0.0589
0 0 0 0 0 0 0 0 0 0 0 0 0 0 2e-04 9e-04 0.0036 0.0117 0.0308 0.0658 0.1139 0.6367 0.1364
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2e-04 0.0011 0.0043 0.0135 0.0347 0.0721 0.6337 0.2403
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1e-04 4e-04 0.0016 0.006 0.018 0.0437 0.5774 0.3528
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1e-04 7e-04 0.0028 0.0096 0.0264 0.5017 0.4588
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1e-04 3e-04 0.0014 0.0053 0.0163 0.4265 0.5502
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1e-04 7e-04 0.0031 0.0104 0.3608 0.6248
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1e-04 4e-04 0.0019 0.007 0.3066 0.684
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3e-04 0.0012 0.0049 0.2634 0.7302
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2e-04 9e-04 0.0036 0.2293 0.7661
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1e-04 6e-04 0.0027 0.2026 0.794
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1e-04 5e-04 0.0021 0.1815 0.8158
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1e-04 4e-04 0.0017 0.165 0.8329
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1e-04 3e-04 0.0014 0.1518 0.8464
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3e-04 0.0012 0.1413 0.8571
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2e-04 0.0011 0.1329 0.8658
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2e-04 0.001 0.1261 0.8727
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2e-04 9e-04 0.1205 0.8784
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2e-04 8e-04 0.116 0.883
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1e-04 7e-04 0.1039 0.8953
#-p


#==========================================================================================================================
#!p Ageing error matrix: proportion at reader age given true age: ageage(1,nages,1,nages)
#==========================================================================================================================
0.9844 0.0156 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0.035 0.9299 0.035 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0.0591 0.8818 0.0591 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0.0848 0.8304 0.0848 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 1e-04 0.1101 0.7796 0.1101 1e-04 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 5e-04 0.1339 0.7314 0.1339 5e-04 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0.0012 0.1555 0.6866 0.1555 0.0012 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0.0027 0.1745 0.6455 0.1745 0.0027 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0.0051 0.1908 0.6081 0.1908 0.0051 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0.0084 0.2045 0.5741 0.2045 0.0084 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 1e-04 0.0127 0.2156 0.5432 0.2156 0.0127 1e-04 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 2e-04 0.0178 0.2244 0.515 0.2244 0.0178 2e-04 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 5e-04 0.0237 0.2311 0.4894 0.2311 0.0237 5e-04 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 9e-04 0.0301 0.236 0.466 0.236 0.0301 9e-04 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0.0016 0.0369 0.2393 0.4446 0.2393 0.0369 0.0016 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0.0025 0.0438 0.2412 0.4249 0.2412 0.0438 0.0025 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 1e-04 0.0037 0.0507 0.2421 0.4068 0.2421 0.0507 0.0037 1e-04 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 2e-04 0.0052 0.0576 0.242 0.3901 0.242 0.0576 0.0052 2e-04 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 3e-04 0.007 0.0642 0.2412 0.3747 0.2412 0.0642 0.007 3e-04 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5e-04 0.0091 0.0705 0.2398 0.3604 0.2398 0.0705 0.0091 5e-04
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8e-04 0.0115 0.0764 0.2378 0.3471 0.2378 0.0764 0.0123
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0012 0.014 0.0819 0.2355 0.3347 0.2355 0.0972
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1e-04 0.0017 0.0168 0.087 0.2328 0.3231 0.3384
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1e-04 0.0023 0.0198 0.0917 0.2299 0.6561
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2e-04 0.003 0.0228 0.096 0.8779
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3e-04 0.0039 0.026 0.9697
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5e-04 0.0049 0.9945
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1e-04 7e-04 0.9992
#-p


#==========================================================================================================================
# EOF marker
#==========================================================================================================================
42
#! #!p
